t[s]	U[V]	I[A]	Piro[°C]	TC-K[°C]
  0,000	 -0,080	  0,092	700,013	882,718
  0,010	 -0,081	  0,094	700,050	882,718
  0,020	 -0,083	  0,094	700,070	882,718
  0,030	 -0,077	  0,100	700,045	882,718
  0,040	 -0,080	  0,100	700,041	882,718
  0,050	 -0,077	  0,101	700,070	882,718
  0,060	 -0,077	  0,103	700,058	882,718
  0,070	 -0,079	  0,107	700,014	882,718
  0,080	 -0,082	  0,102	700,013	882,728
  0,090	 -0,082	  0,098	700,011	882,742
  0,100	 -0,081	  0,094	700,039	882,742
  0,110	 -0,076	  0,093	700,059	882,742
  0,120	 -0,080	  0,093	700,053	882,723
  0,130	 -0,083	  0,092	700,052	882,718
  0,140	 -0,081	  0,087	700,058	882,718
  0,150	 -0,081	  0,087	700,060	882,718
  0,160	 -0,080	  0,086	700,068	882,718
  0,170	 -0,073	  0,091	700,071	882,718
  0,180	 -0,079	  0,095	700,075	882,718
  0,190	 -0,081	  0,095	700,046	882,731
  0,200	 -0,079	  0,095	700,020	882,742
  0,210	 -0,077	  0,094	700,051	882,724
  0,220	 -0,075	  0,095	700,063	882,718
  0,230	 -0,081	  0,098	700,033	882,718
  0,240	 -0,083	  0,101	700,032	882,718
  0,250	 -0,084	  0,107	700,049	882,718
  0,260	 -0,074	  0,105	700,044	882,718
  0,270	 -0,078	  0,103	700,033	882,718
  0,280	 -0,081	  0,099	700,027	882,718
  0,290	 -0,082	  0,097	700,021	882,718
  0,300	 -0,077	  0,099	700,074	882,718
  0,310	 -0,079	  0,099	700,099	882,718
  0,320	 -0,080	  0,095	700,087	882,718
  0,330	 -0,075	  0,094	700,084	882,718
  0,340	 -0,082	  0,088	700,058	882,718
  0,350	 -0,074	  0,089	700,064	882,718
  0,360	 -0,075	  0,090	700,080	882,718
  0,370	 -0,075	  0,092	700,050	882,718
  0,380	 -0,080	  0,093	700,013	882,718
  0,390	 -0,090	  0,094	700,041	882,733
  0,400	 -0,079	  0,094	700,058	882,742
  0,410	 -0,081	  0,094	700,035	882,742
  0,420	 -0,080	  0,096	700,031	882,742
  0,430	 -0,079	  0,104	700,094	882,742
  0,440	 -0,076	  0,106	700,088	882,737
  0,450	 -0,079	  0,110	700,065	882,718
  0,460	 -0,080	  0,106	700,048	882,718
  0,470	 -0,081	  0,103	700,020	882,718
  0,480	 -0,077	  0,094	700,050	882,718
  0,490	 -0,071	  0,092	700,071	882,718
  0,500	 -0,080	  0,091	700,065	882,718
  0,510	 -0,080	  0,091	700,063	882,718
  0,520	 -0,081	  0,091	700,030	882,741
  0,530	 -0,081	  0,089	700,033	882,739
  0,540	 -0,077	  0,086	700,057	882,718
  0,550	 -0,078	  0,091	700,051	882,718
  0,560	 -0,076	  0,094	700,039	882,718
  0,570	 -0,073	  0,093	700,075	882,731
  0,580	 -0,076	  0,092	700,107	882,742
  0,590	 -0,076	  0,095	700,061	882,725
  0,600	 -0,075	  0,095	700,043	882,718
  0,610	 -0,080	  0,095	700,056	882,718
  0,620	 -0,080	  0,097	700,055	882,720
  0,630	 -0,076	  0,102	700,037	882,742
  0,640	 -0,079	  0,102	700,047	882,735
  0,650	 -0,080	  0,102	700,070	882,718
  0,660	 -0,076	  0,099	700,071	882,718
  0,670	 -0,077	  0,097	700,072	882,718
  0,680	 -0,078	  0,094	700,089	882,734
  0,690	 -0,080	  0,094	700,097	882,742
  0,700	 -0,077	  0,096	700,069	882,721
  0,710	 -0,077	  0,093	700,063	882,718
  0,720	 -0,079	  0,084	700,046	882,718
  0,730	 -0,073	  0,086	700,039	882,724
  0,740	 -0,077	  0,088	700,017	882,742
  0,750	 -0,078	  0,091	700,021	882,742
  0,760	 -0,081	  0,093	700,026	882,742
  0,770	 -0,078	  0,092	700,011	882,727
  0,780	 -0,075	  0,091	700,001	882,718
  0,790	 -0,076	  0,100	700,054	882,718
  0,800	 -0,080	  0,100	700,066	882,718
  0,810	 -0,077	  0,100	700,037	882,718
  0,820	 -0,075	  0,103	700,037	882,718
  0,830	 -0,076	  0,108	700,037	882,718
  0,840	 -0,081	  0,103	700,045	882,718
  0,850	 -0,075	  0,099	700,059	882,718
  0,860	 -0,074	  0,095	700,028	882,718
  0,870	 -0,075	  0,094	700,004	882,718
  0,880	 -0,080	  0,092	700,019	882,736
  0,890	 -0,078	  0,092	700,023	882,742
  0,900	 -0,079	  0,092	700,046	882,719
  0,910	 -0,076	  0,089	700,042	882,718
  0,920	 -0,079	  0,082	700,016	882,718
  0,930	 -0,078	  0,087	700,040	882,718
  0,940	 -0,078	  0,092	700,090	882,718
  0,950	 -0,079	  0,094	700,072	882,718
  0,960	 -0,077	  0,095	700,056	882,718
  0,970	 -0,079	  0,095	700,063	882,718
  0,980	 -0,075	  0,096	700,065	882,718
  0,990	 -0,081	  0,098	700,087	882,740
  1,000	 -0,076	  0,101	700,086	882,740
  1,010	 -0,078	  0,107	700,054	882,718
  1,020	 -0,079	  0,105	700,048	882,718
  1,030	 -0,077	  0,103	700,033	882,718
  1,040	 -0,079	  0,100	700,088	882,729
  1,050	 -0,076	  0,098	700,149	882,742
  1,060	 -0,077	  0,099	700,102	882,726
  1,070	 -0,077	  0,099	700,077	882,718
  1,080	 -0,086	  0,091	700,063	882,718
  1,090	 -0,075	  0,090	700,058	882,719
  1,100	 -0,078	  0,090	700,019	882,742
  1,110	 -0,082	  0,088	700,021	882,737
  1,120	 -0,076	  0,086	700,030	882,718
  1,130	 -0,076	  0,088	700,020	882,718
  1,140	 -0,081	  0,090	700,007	882,718
  1,150	 -0,079	  0,096	700,030	882,718
  1,160	 -0,079	  0,097	700,044	882,718
  1,170	 -0,075	  0,099	700,038	882,718
  1,180	 -0,079	  0,100	700,036	882,718
  1,190	 -0,075	  0,107	700,051	882,718
  1,200	 -0,081	  0,106	700,055	882,718
  1,210	 -0,078	  0,105	700,071	882,718
  1,220	 -0,080	  0,102	700,073	882,718
  1,230	 -0,077	  0,100	700,077	882,718
  1,240	 -0,077	  0,099	700,051	882,731
  1,250	 -0,076	  0,098	700,031	882,742
  1,260	 -0,074	  0,094	700,051	882,724
  1,270	 -0,079	  0,094	700,057	882,718
  1,280	 -0,079	  0,090	700,034	882,718
  1,290	 -0,078	  0,088	700,034	882,718
  1,300	 -0,083	  0,083	700,039	882,718
  1,310	 -0,082	  0,086	700,059	882,718
  1,320	 -0,080	  0,088	700,101	882,718
  1,330	 -0,078	  0,090	700,069	882,718
  1,340	 -0,079	  0,091	700,037	882,718
  1,350	 -0,084	  0,091	700,037	882,718
  1,360	 -0,081	  0,092	700,037	882,718
  1,370	 -0,076	  0,103	700,047	882,718
  1,380	 -0,080	  0,104	700,048	882,718
  1,390	 -0,079	  0,105	700,046	882,718
  1,400	 -0,082	  0,105	700,056	882,718
  1,410	 -0,079	  0,104	700,082	882,718
  1,420	 -0,077	  0,102	700,075	882,718
  1,430	 -0,077	  0,101	700,068	882,718
  1,440	 -0,080	  0,096	700,081	882,718
  1,450	 -0,080	  0,095	700,088	882,718
  1,460	 -0,082	  0,095	700,075	882,718
  1,470	 -0,082	  0,094	700,071	882,718
  1,480	 -0,079	  0,091	700,024	882,718
  1,490	 -0,079	  0,090	700,039	882,718
  1,500	 -0,084	  0,090	700,089	882,718
  1,510	 -0,085	  0,091	700,102	882,728
  1,520	 -0,082	  0,092	700,121	882,742
  1,530	 -0,082	  0,095	700,102	882,728
  1,540	 -0,079	  0,096	700,090	882,718
  1,550	 -0,079	  0,097	700,052	882,718
  1,560	 -0,077	  0,098	700,042	882,718
  1,570	 -0,085	  0,101	700,030	882,718
  1,580	 -0,080	  0,103	700,037	882,718
  1,590	 -0,083	  0,107	700,073	882,718
  1,600	 -0,080	  0,103	700,050	882,718
  1,610	 -0,080	  0,100	700,009	882,718
  1,620	 -0,085	  0,096	700,074	882,718
  1,630	 -0,081	  0,094	700,128	882,718
  1,640	 -0,085	  0,093	700,080	882,718
  1,650	 -0,079	  0,093	700,063	882,718
  1,660	 -0,085	  0,093	700,095	882,741
  1,670	 -0,085	  0,091	700,092	882,742
  1,680	 -0,084	  0,086	700,056	882,742
  1,690	 -0,080	  0,090	700,049	882,742
  1,700	 -0,079	  0,094	700,035	882,742
  1,710	 -0,083	  0,093	700,089	882,742
  1,720	 -0,080	  0,093	700,142	882,742
  1,730	 -0,077	  0,094	700,056	882,742
  1,740	 -0,083	  0,094	700,017	882,742
  1,750	 -0,079	  0,101	700,070	882,721
  1,760	 -0,082	  0,102	700,076	882,718
  1,770	 -0,080	  0,105	700,062	882,718
  1,780	 -0,084	  0,102	700,056	882,718
  1,790	 -0,081	  0,099	700,039	882,718
  1,800	 -0,078	  0,096	700,022	882,718
  1,810	 -0,080	  0,095	700,001	882,718
  1,820	 -0,082	  0,095	700,033	882,718
  1,830	 -0,086	  0,095	700,050	882,718
  1,840	 -0,080	  0,094	700,057	882,718
  1,850	 -0,078	  0,093	700,058	882,718
  1,860	 -0,084	  0,091	700,037	882,718
  1,870	 -0,082	  0,091	700,041	882,718
  1,880	 -0,081	  0,091	700,054	882,718
  1,890	 -0,080	  0,091	700,073	882,728
  1,900	 -0,081	  0,092	700,100	882,742
  1,910	 -0,082	  0,090	700,090	882,728
  1,920	 -0,085	  0,090	700,084	882,718
  1,930	 -0,079	  0,103	700,039	882,718
  1,940	 -0,078	  0,104	700,026	882,718
  1,950	 -0,079	  0,107	700,077	882,718
  1,960	 -0,082	  0,108	700,079	882,718
  1,970	 -0,081	  0,109	700,080	882,718
  1,980	 -0,080	  0,109	700,085	882,718
  1,990	 -0,080	  0,109	700,094	882,718
  2,000	 -0,078	  0,103	700,061	882,731
  2,010	 -0,078	  0,101	700,033	882,742
  2,020	 -0,081	  0,098	700,034	882,724
  2,030	 -0,082	  0,097	700,034	882,718
  2,040	 -0,079	  0,094	700,046	882,718
  2,050	 -0,082	  0,092	700,050	882,718
  2,060	 -0,079	  0,088	700,077	882,718
  2,070	 -0,079	  0,093	700,078	882,718
  2,080	 -0,080	  0,098	700,082	882,718
  2,090	 -0,081	  0,099	700,068	882,718
  2,100	 -0,077	  0,099	700,053	882,718
  2,110	 -0,073	  0,099	700,022	882,734
  2,120	 -0,080	  0,099	700,007	882,742
  2,130	 -0,081	  0,104	700,039	882,721
  2,140	 -0,083	  0,105	700,043	882,718
  2,150	 -0,082	  0,107	700,026	882,718
  2,160	 -0,079	  0,109	700,039	882,718
  2,170	 -0,080	  0,111	700,077	882,718
  2,180	 -0,077	  0,105	700,049	882,718
  2,190	 -0,082	  0,101	700,014	882,718
  2,200	 -0,079	  0,097	700,009	882,718
  2,210	 -0,078	  0,097	700,006	882,718
  2,220	 -0,082	  0,096	700,082	882,718
  2,230	 -0,077	  0,096	700,098	882,718
  2,240	 -0,076	  0,095	700,050	882,742
  2,250	 -0,081	  0,092	700,051	882,737
  2,260	 -0,079	  0,088	700,056	882,718
  2,270	 -0,084	  0,092	700,069	882,718
  2,280	 -0,081	  0,094	700,090	882,718
  2,290	 -0,080	  0,102	700,040	882,718
  2,300	 -0,076	  0,105	700,004	882,718
  2,310	 -0,080	  0,102	700,004	882,718
  2,320	 -0,077	  0,103	700,004	882,718
  2,330	 -0,078	  0,106	700,058	882,718
  2,340	 -0,077	  0,109	700,068	882,718
  2,350	 -0,081	  0,115	700,114	882,718
  2,360	 -0,081	  0,111	700,099	882,718
  2,370	 -0,086	  0,109	700,069	882,718
  2,380	 -0,080	  0,105	700,081	882,718
  2,390	 -0,078	  0,103	700,091	882,718
  2,400	 -0,079	  0,102	700,052	882,718
  2,410	 -0,077	  0,101	700,037	882,718
  2,420	 -0,076	  0,098	700,082	882,718
  2,430	 -0,074	  0,096	700,084	882,718
  2,440	 -0,078	  0,090	700,057	882,718
  2,450	 -0,081	  0,094	700,056	882,718
  2,460	 -0,086	  0,097	700,052	882,718
  2,470	 -0,083	  0,100	700,093	882,718
  2,480	 -0,080	  0,101	700,138	882,718
  2,490	 -0,078	  0,099	700,111	882,734
  2,500	 -0,079	  0,099	700,098	882,742
  2,510	 -0,082	  0,100	700,044	882,721
  2,520	 -0,080	  0,102	700,033	882,718
  2,530	 -0,079	  0,107	699,990	882,718
  2,540	 -0,079	  0,107	700,007	882,718
  2,550	 -0,077	  0,106	700,060	882,718
  2,560	 -0,077	  0,106	700,062	882,728
  2,570	 -0,078	  0,106	700,064	882,742
  2,580	 -0,083	  0,103	700,077	882,727
  2,590	 -0,081	  0,102	700,085	882,718
  2,600	 -0,085	  0,100	700,041	882,718
  2,610	 -0,079	  0,098	700,030	882,718
  2,620	 -0,076	  0,093	700,047	882,742
  2,630	 -0,080	  0,092	700,052	882,738
  2,640	 -0,075	  0,091	700,072	882,718
  2,650	 -0,079	  0,093	700,079	882,727
  2,660	 -0,080	  0,095	700,090	882,742
  2,670	 -0,077	  0,096	700,117	882,742
  2,680	 -0,083	  0,096	700,138	882,742
  2,690	 -0,082	  0,099	700,109	882,724
  2,700	 -0,084	  0,100	700,100	882,718
  2,710	 -0,077	  0,104	700,063	882,718
  2,720	 -0,077	  0,106	700,058	882,718
  2,730	 -0,085	  0,111	700,040	882,718
  2,740	 -0,079	  0,109	700,038	882,718
  2,750	 -0,082	  0,107	700,033	882,718
  2,760	 -0,076	  0,104	700,047	882,718
  2,770	 -0,078	  0,103	700,060	882,718
  2,780	 -0,081	  0,103	700,043	882,718
  2,790	 -0,077	  0,102	700,036	882,718
  2,800	 -0,077	  0,094	700,070	882,718
  2,810	 -0,078	  0,093	700,074	882,718
  2,820	 -0,083	  0,092	700,070	882,718
  2,830	 -0,084	  0,093	700,054	882,718
  2,840	 -0,082	  0,094	700,014	882,718
  2,850	 -0,079	  0,098	700,032	882,718
  2,860	 -0,080	  0,100	700,052	882,718
  2,870	 -0,082	  0,100	700,060	882,734
  2,880	 -0,081	  0,100	700,064	882,742
  2,890	 -0,080	  0,103	700,035	882,742
  2,900	 -0,080	  0,105	700,031	882,742
  2,910	 -0,077	  0,109	700,040	882,742
  2,920	 -0,079	  0,109	700,031	882,742
  2,930	 -0,082	  0,109	700,001	882,742
  2,940	 -0,082	  0,109	700,012	882,732
  2,950	 -0,078	  0,109	700,026	882,718
  2,960	 -0,079	  0,103	700,046	882,718
  2,970	 -0,082	  0,101	700,059	882,718
  2,980	 -0,080	  0,100	700,108	882,737
  2,990	 -0,081	  0,098	700,120	882,742
  3,000	 -0,075	  0,091	700,103	882,718
  3,010	 -0,079	  0,090	700,097	882,718
  3,020	 -0,082	  0,087	700,070	882,718
  3,030	 -0,077	  0,091	700,054	882,718
  3,040	 -0,077	  0,094	700,027	882,718
  3,050	 -0,077	  0,100	700,022	882,718
  3,060	 -0,081	  0,102	700,019	882,718
  3,070	 -0,088	  0,103	700,021	882,718
  3,080	 -0,081	  0,103	700,021	882,718
  3,090	 -0,077	  0,106	699,974	882,718
  3,100	 -0,082	  0,108	699,980	882,718
  3,110	 -0,079	  0,111	700,037	882,718
  3,120	 -0,080	  0,108	700,043	882,726
  3,130	 -0,083	  0,104	700,055	882,742
  3,140	 -0,084	  0,102	700,041	882,730
  3,150	 -0,076	  0,100	700,027	882,718
  3,160	 -0,080	  0,101	700,019	882,718
  3,170	 -0,077	  0,100	700,016	882,718
  3,180	 -0,077	  0,094	699,986	882,718
  3,190	 -0,080	  0,094	699,991	882,718
  3,200	 -0,079	  0,094	700,091	882,718
  3,210	 -0,082	  0,095	700,085	882,718
  3,220	 -0,079	  0,096	700,070	882,718
  3,230	 -0,077	  0,100	700,087	882,718
  3,240	 -0,080	  0,103	700,107	882,718
  3,250	 -0,080	  0,104	700,084	882,718
  3,260	 -0,077	  0,104	700,072	882,718
  3,270	 -0,075	  0,102	700,043	882,718
  3,280	 -0,082	  0,103	700,037	882,719
  3,290	 -0,085	  0,107	700,026	882,742
  3,300	 -0,080	  0,107	700,054	882,742
  3,310	 -0,076	  0,107	700,152	882,742
  3,320	 -0,079	  0,105	700,119	882,732
  3,330	 -0,086	  0,103	700,070	882,718
  3,340	 -0,080	  0,104	700,074	882,718
  3,350	 -0,078	  0,104	700,077	882,718
  3,360	 -0,077	  0,099	700,099	882,718
  3,370	 -0,080	  0,098	700,104	882,718
  3,380	 -0,079	  0,094	700,040	882,718
  3,390	 -0,080	  0,094	700,035	882,718
  3,400	 -0,075	  0,092	700,017	882,718
  3,410	 -0,078	  0,096	700,023	882,718
  3,420	 -0,082	  0,098	700,033	882,718
  3,430	 -0,083	  0,102	700,034	882,718
  3,440	 -0,079	  0,104	700,034	882,718
  3,450	 -0,084	  0,098	700,077	882,718
  3,460	 -0,077	  0,099	700,093	882,718
  3,470	 -0,080	  0,106	700,056	882,741
  3,480	 -0,081	  0,109	700,053	882,742
  3,490	 -0,080	  0,114	700,049	882,742
  3,500	 -0,081	  0,110	700,055	882,735
  3,510	 -0,082	  0,107	700,070	882,718
  3,520	 -0,083	  0,101	700,057	882,718
  3,530	 -0,085	  0,098	700,044	882,718
  3,540	 -0,079	  0,098	700,063	882,718
  3,550	 -0,074	  0,098	700,071	882,718
  3,560	 -0,076	  0,098	700,050	882,718
  3,570	 -0,081	  0,097	700,049	882,718
  3,580	 -0,084	  0,092	700,064	882,718
  3,590	 -0,078	  0,093	700,059	882,718
  3,600	 -0,076	  0,094	700,044	882,718
  3,610	 -0,078	  0,097	700,030	882,718
  3,620	 -0,081	  0,099	700,011	882,718
  3,630	 -0,081	  0,098	700,051	882,718
  3,640	 -0,081	  0,098	700,073	882,718
  3,650	 -0,080	  0,100	700,094	882,718
  3,660	 -0,080	  0,101	700,097	882,718
  3,670	 -0,080	  0,105	700,017	882,718
  3,680	 -0,076	  0,106	700,020	882,718
  3,690	 -0,080	  0,109	700,033	882,718
  3,700	 -0,078	  0,109	700,052	882,718
  3,710	 -0,079	  0,109	700,082	882,718
  3,720	 -0,078	  0,103	700,048	882,718
  3,730	 -0,079	  0,101	700,024	882,718
  3,740	 -0,079	  0,098	700,050	882,718
  3,750	 -0,079	  0,097	700,057	882,718
  3,760	 -0,081	  0,092	700,038	882,718
  3,770	 -0,082	  0,091	700,032	882,718
  3,780	 -0,077	  0,090	700,003	882,718
  3,790	 -0,080	  0,091	700,024	882,718
  3,800	 -0,076	  0,091	700,064	882,718
  3,810	 -0,081	  0,095	700,055	882,718
  3,820	 -0,079	  0,097	700,047	882,718
  3,830	 -0,081	  0,100	700,039	882,718
  3,840	 -0,083	  0,101	700,036	882,718
  3,850	 -0,079	  0,105	700,046	882,718
  3,860	 -0,078	  0,105	700,047	882,718
  3,870	 -0,077	  0,106	700,049	882,718
  3,880	 -0,085	  0,106	700,051	882,718
  3,890	 -0,083	  0,106	700,056	882,718
  3,900	 -0,081	  0,101	700,071	882,718
  3,910	 -0,080	  0,099	700,087	882,718
  3,920	 -0,080	  0,100	700,085	882,718
  3,930	 -0,080	  0,100	700,084	882,718
  3,940	 -0,079	  0,095	700,068	882,718
  3,950	 -0,075	  0,093	700,063	882,718
  3,960	 -0,078	  0,087	700,030	882,718
  3,970	 -0,079	  0,091	700,038	882,718
  3,980	 -0,081	  0,096	700,063	882,718
  3,990	 -0,079	  0,096	700,058	882,718
  4,000	 -0,080	  0,097	700,052	882,718
  4,010	 -0,079	  0,102	700,059	882,718
  4,020	 -0,084	  0,103	700,064	882,718
  4,030	 -0,078	  0,101	700,042	882,718
  4,040	 -0,081	  0,102	700,037	882,718
  4,050	 -0,083	  0,108	700,062	882,718
  4,060	 -0,079	  0,108	700,076	882,718
  4,070	 -0,081	  0,109	700,132	882,718
  4,080	 -0,081	  0,106	700,103	882,718
  4,090	 -0,077	  0,103	700,057	882,718
  4,100	 -0,078	  0,099	700,030	882,718
  4,110	 -0,076	  0,098	700,011	882,718
  4,120	 -0,080	  0,098	700,049	882,718
  4,130	 -0,082	  0,098	700,060	882,718
  4,140	 -0,081	  0,093	700,052	882,718
  4,150	 -0,080	  0,090	700,052	882,718
  4,160	 -0,078	  0,085	700,055	882,718
  4,170	 -0,081	  0,091	700,065	882,718
  4,180	 -0,082	  0,096	700,083	882,718
  4,190	 -0,075	  0,096	700,089	882,718
  4,200	 -0,081	  0,097	700,095	882,718
  4,210	 -0,083	  0,100	700,088	882,718
  4,220	 -0,078	  0,101	700,085	882,718
  4,230	 -0,080	  0,108	700,075	882,718
  4,240	 -0,080	  0,110	700,074	882,718
