t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	695.2	642.3
0.0	9.36	15.54	642.3	695.2
0.01	10.59	17.53	642.5	695.4
0.02	10.86	17.97	642.3	695.5
0.03	10.94	18.08	642.4	695.5
0.04	10.98	18.11	642.2	695.2
0.05	11.0	18.1	642.4	695.3
0.06	11.01	18.09	642.2	695.4
0.07	11.03	18.08	642.4	695.4
0.08	11.04	18.07	642.7	695.3
0.09	11.05	18.07	642.2	695.2
0.1	11.05	18.04	642.3	695.3
0.11	11.05	18.02	642.3	695.3
0.12	11.05	17.99	642.4	695.2
0.13	11.05	17.97	642.4	695.5
0.14	11.06	17.96	642.2	695.2
0.15	11.06	17.93	642.4	695.2
0.16	11.05	17.91	642.1	695.4
0.17	11.06	17.89	642.2	695.3
0.18	11.06	17.86	642.2	695.2
0.19	11.06	17.85	642.2	695.3
0.2	11.06	17.84	642.1	695.3
0.21	11.07	17.82	642.4	695.2
0.22	11.08	17.82	642.4	695.3
0.23	11.07	17.79	642.2	695.3
0.24	11.07	17.77	642.3	695.3
0.25	11.06	17.75	642.4	695.4
0.26	11.07	17.73	642.2	695.5
0.27	11.06	17.71	642.4	695.2
0.28	11.06	17.69	642.2	695.4
0.29	11.06	17.68	642.4	695.3
0.3	11.06	17.66	642.5	695.4
0.31	11.06	17.65	642.2	695.3
0.32	11.07	17.64	642.3	695.3
0.33	11.06	17.62	642.4	695.4
0.34	11.08	17.61	642.4	695.3
0.35	11.06	17.59	642.2	695.2
0.36	11.06	17.57	642.3	695.4
0.37	11.06	17.56	642.4	695.5
0.38	11.06	17.53	642.4	695.4
0.39	11.05	17.51	642.2	695.2
0.4	11.06	17.49	642.3	695.3
0.41	11.05	17.48	642.3	695.4
0.42	11.06	17.47	642.3	695.1
0.43	11.06	17.46	642.3	695.3
0.44	11.06	17.44	642.6	695.2
0.45	11.07	17.43	642.4	695.2
0.46	11.07	17.4	642.3	695.3
0.47	11.06	17.38	642.5	695.2
0.48	11.07	17.39	642.3	695.2
0.49	11.06	17.35	642.2	695.2
0.5	11.06	17.34	642.3	695.3
0.51	11.06	17.32	642.2	695.4
0.52	11.06	17.32	642.3	695.4
0.53	11.07	17.31	642.3	695.2
0.54	11.06	17.28	642.3	695.5
0.55	11.06	17.26	642.2	695.5
0.56	11.06	17.25	642.5	695.4
0.57	11.06	17.23	642.4	695.3
0.58	11.05	17.21	642.3	695.5
0.59	11.05	17.19	642.2	695.4
0.6	11.06	17.19	642.3	695.2
0.61	11.07	17.18	642.4	695.2
0.62	11.06	17.16	642.2	695.1
0.63	11.07	17.14	642.4	695.4
0.64	11.06	17.12	642.3	695.6
0.65	11.06	17.11	642.4	695.3
0.66	11.06	17.09	642.2	695.3
0.67	11.06	17.08	642.4	695.5
0.68	11.07	17.07	642.2	695.4
0.69	11.07	17.05	642.4	695.3
0.7	11.05	17.02	642.3	695.4
0.71	11.06	17.01	642.2	695.3
0.72	11.06	16.99	642.3	695.3
0.73	11.06	16.97	642.2	695.2
0.74	11.08	16.99	642.4	695.4
0.75	11.07	16.96	642.1	695.2
0.76	11.07	16.94	642.1	695.3
0.77	11.06	16.92	642.4	695.3
0.78	11.07	16.91	642.3	695.3
0.79	11.06	16.89	642.5	695.4
0.8	11.08	16.89	642.3	695.3
0.81	11.06	16.85	642.5	695.4
0.82	11.06	16.84	642.0	695.2
0.83	11.06	16.82	642.2	695.4
0.84	11.08	16.83	642.5	695.3
0.85	11.06	16.81	642.2	695.5
0.86	11.06	16.79	642.3	695.2
0.87	11.06	16.78	642.3	695.5
0.88	11.06	16.76	642.3	695.3
0.89	11.06	16.76	642.1	695.4
0.9	11.07	16.73	642.5	695.4
0.91	11.07	16.72	642.6	695.4
0.92	11.07	16.71	642.4	695.3
0.93	11.05	16.68	642.5	695.4
0.94	11.07	16.68	642.3	695.2
0.95	11.06	16.66	642.4	695.3
0.96	11.06	16.64	642.2	695.3
0.97	11.06	16.63	642.3	695.3
0.98	11.08	16.64	642.3	695.3
0.99	11.06	16.61	642.3	695.4
1.0	11.06	16.59	642.2	695.2
1.01	11.07	16.59	642.4	695.3
1.02	11.06	16.56	642.3	695.4
1.03	11.06	16.54	642.4	695.4
1.04	11.06	16.53	642.4	695.2
1.05	11.07	16.53	642.1	695.1
1.06	11.06	16.51	642.3	695.4
1.07	11.06	16.49	642.2	695.3
1.08	11.06	16.47	642.3	695.4
1.09	11.06	16.46	642.4	695.3
1.1	11.08	16.47	642.6	695.2
1.11	11.06	16.45	642.2	695.4
1.12	11.06	16.41	642.5	695.5
1.13	11.06	16.4	642.2	695.5
1.14	11.05	16.38	642.4	695.3
1.15	11.07	16.39	642.6	695.2
1.16	11.07	16.37	642.3	695.3
1.17	11.08	16.38	642.5	695.3
1.18	11.07	16.36	642.4	695.4
1.19	11.07	16.34	642.6	695.2
1.2	11.07	16.33	642.1	695.2
1.21	11.07	16.3	642.2	695.6
1.22	11.05	16.27	642.2	695.4
1.23	11.07	16.27	642.3	695.4
1.24	11.05	16.25	642.3	695.4
1.25	11.05	16.23	642.3	695.3
1.26	11.05	16.22	642.1	695.4
1.27	11.06	16.21	642.3	695.3
1.28	11.06	16.2	642.5	695.4
1.29	11.06	16.19	642.2	695.4
1.3	11.06	16.17	642.4	695.4
1.31	11.06	16.16	642.4	695.3
1.32	11.05	16.14	642.2	695.2
1.33	11.06	16.13	642.3	695.5
1.34	11.06	16.12	642.1	695.4
1.35	11.07	16.11	642.4	695.2
1.36	11.08	16.12	642.2	695.2
1.37	11.07	16.09	642.2	695.1
1.38	11.06	16.07	642.1	695.2
1.39	11.05	16.05	642.5	695.2
1.4	11.06	16.03	642.1	695.4
1.41	11.07	16.03	642.3	695.3
1.42	11.07	16.04	642.4	695.3
1.43	11.07	16.01	642.4	695.5
1.44	11.06	15.99	642.2	695.4
1.45	11.06	15.97	642.2	695.2
1.46	11.06	15.97	642.4	695.4
1.47	11.06	15.95	642.5	695.4
1.48	11.07	15.95	642.3	695.3
1.49	11.07	15.93	642.5	695.3
1.5	11.05	15.89	642.1	695.2
1.51	11.06	15.9	642.4	695.2
1.52	11.06	15.88	642.4	695.4
1.53	11.05	15.86	642.3	695.4
1.54	11.05	15.85	642.3	695.3
1.55	11.06	15.84	642.3	695.3
1.56	11.06	15.82	642.4	695.4
1.57	11.06	15.81	642.2	695.5
1.58	11.06	15.8	642.3	695.3
1.59	11.06	15.79	642.3	695.2
1.6	11.07	15.78	642.2	695.2
1.61	11.06	15.76	642.3	695.5
1.62	11.08	15.77	642.3	695.1
1.63	11.06	15.74	642.3	695.2
1.64	11.07	15.73	642.4	695.2
1.65	11.08	15.72	642.2	695.1
1.66	11.07	15.7	642.3	695.3
1.67	11.07	15.68	642.2	695.4
1.68	11.06	15.67	642.4	695.3
1.69	11.05	15.65	642.4	695.7
1.7	11.06	15.63	642.3	695.4
1.71	11.06	15.62	642.3	695.4
1.72	11.08	15.62	642.6	695.3
1.73	11.06	15.6	642.2	695.5
1.74	11.06	15.58	642.4	695.4
1.75	11.05	15.56	642.4	695.2
1.76	11.06	15.55	642.4	695.3
1.77	11.06	15.55	642.2	695.3
1.78	11.06	15.52	642.3	695.3
1.79	11.06	15.51	642.5	695.4
1.8	11.06	15.5	642.3	695.5
1.81	11.06	15.48	642.3	695.3
1.82	11.07	15.49	642.5	695.4
1.83	11.07	15.46	642.1	695.5
1.84	11.06	15.44	642.5	695.3
1.85	11.07	15.44	642.4	695.3
1.86	11.06	15.41	642.3	695.3
1.87	11.06	15.41	642.3	695.4
1.88	11.07	15.39	642.3	695.5
1.89	11.06	15.37	642.4	695.2
1.9	11.07	15.38	642.1	695.3
1.91	11.06	15.35	642.2	695.3
1.92	11.06	15.34	642.4	695.1
1.93	11.06	15.33	642.2	695.3
1.94	11.06	15.3	642.2	695.5
1.95	11.06	15.3	642.3	695.4
1.96	11.05	15.28	642.4	695.3
1.97	11.05	15.26	642.2	695.4
1.98	11.05	15.25	642.2	695.4
1.99	11.06	15.24	642.4	695.2
2.0	11.05	15.22	642.5	695.2
2.01	11.07	15.22	642.3	695.4
2.02	11.06	15.2	642.3	695.1
2.03	11.06	15.18	642.3	695.5
2.04	11.05	15.16	642.3	695.2
2.05	11.07	15.16	642.4	695.3
2.06	11.06	15.14	642.4	695.5
2.07	11.05	15.12	642.2	695.2
2.08	11.07	15.13	642.1	695.4
2.09	11.07	15.1	642.3	695.4
2.1	11.06	15.09	642.4	695.2
2.11	11.06	15.08	642.4	695.3
2.12	11.06	15.06	642.4	695.4
2.13	11.07	15.05	642.5	695.1
2.14	11.06	15.03	642.3	695.4
2.15	11.06	15.02	642.4	695.6
2.16	11.07	15.02	642.3	695.4
2.17	11.06	14.99	642.3	695.4
2.18	11.06	14.98	642.3	695.4
2.19	11.07	14.97	642.4	695.5
2.2	11.06	14.95	642.3	695.4
2.21	11.06	14.94	642.2	695.4
2.22	11.05	14.92	642.2	695.3
2.23	11.06	14.91	642.4	695.4
2.24	11.07	14.91	642.0	695.2
2.25	11.06	14.88	642.3	695.3
2.26	11.06	14.88	642.3	695.2
2.27	11.05	14.85	642.6	695.3
2.28	11.06	14.85	642.3	695.3
2.29	11.05	14.83	642.4	695.3
2.3	11.06	14.81	642.4	695.4
2.31	11.05	14.8	642.2	695.6
2.32	11.07	14.79	642.4	695.4
2.33	11.06	14.78	642.3	695.3
2.34	11.07	14.76	642.4	695.6
2.35	11.06	14.74	642.4	695.4
2.36	11.06	14.73	642.4	695.4
2.37	11.05	14.71	642.2	695.3
2.38	11.07	14.71	642.2	695.5
2.39	11.07	14.7	642.3	695.5
2.4	11.07	14.69	642.3	695.2
2.41	11.06	14.66	642.3	695.1
2.42	11.06	14.65	642.3	695.3
2.43	11.05	14.63	642.5	695.5
2.44	11.06	14.63	642.1	695.2
2.45	11.08	14.63	642.2	695.3
2.46	11.06	14.59	642.5	695.5
2.47	11.06	14.58	642.1	695.3
2.48	11.06	14.56	642.4	695.3
2.49	11.05	14.55	642.4	695.3
2.5	11.06	14.54	642.2	695.1
2.51	11.06	14.53	642.1	695.5
2.52	11.06	14.51	642.2	695.2
2.53	11.06	14.5	642.1	695.3
2.54	11.05	14.48	642.3	695.3
2.55	11.07	14.48	642.2	695.6
2.56	11.05	14.45	642.3	695.3
2.57	11.07	14.45	642.5	695.3
2.58	11.07	14.44	643.5	695.3
2.59	11.06	14.41	644.8	695.3
2.6	11.07	14.42	646.6	695.1
2.61	11.07	14.39	649.0	695.3
2.62	11.06	14.38	649.7	695.2
2.63	11.06	14.36	651.1	695.4
2.64	11.05	14.34	653.8	695.3
2.65	11.07	14.35	654.6	695.2
2.66	11.06	14.33	657.0	695.3
2.67	11.07	14.31	658.0	695.3
2.68	11.07	14.3	658.6	695.2
2.69	11.08	14.28	660.7	695.5
2.7	11.05	14.27	663.0	695.6
2.71	11.07	14.25	664.1	695.2
2.72	11.05	14.23	665.4	695.4
2.73	11.05	14.22	666.5	695.2
2.74	11.05	14.2	668.1	695.3
2.75	11.07	14.2	669.5	695.2
2.76	11.06	14.19	671.2	695.2
2.77	11.06	14.18	672.4	695.3
2.78	11.07	14.18	673.5	695.3
2.79	11.06	14.14	675.4	695.3
2.8	11.06	14.12	677.0	695.4
