t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	642.5	698.0
0.0	9.34	16.08	698.0	642.5
0.01	10.54	18.04	697.9	642.2
0.02	10.82	18.47	697.8	642.5
0.03	10.9	18.59	697.7	642.6
0.04	10.94	18.61	697.6	642.3
0.05	10.97	18.61	697.7	642.5
0.06	10.97	18.6	697.7	642.4
0.07	10.99	18.57	697.9	642.5
0.08	11.0	18.57	697.6	642.3
0.09	11.01	18.58	697.6	642.4
0.1	11.01	18.51	697.7	642.2
0.11	11.01	18.5	697.8	642.2
0.12	11.01	18.48	697.7	642.4
0.13	11.02	18.47	697.8	642.5
0.14	11.02	18.45	697.9	642.6
0.15	11.02	18.43	697.7	642.5
0.16	11.0	18.41	697.8	642.5
0.17	11.02	18.39	697.8	642.8
0.18	11.01	18.37	697.8	642.4
0.19	11.02	18.36	697.8	642.6
0.2	11.01	18.35	697.6	642.3
0.21	11.02	18.34	697.6	642.5
0.22	11.03	18.34	697.7	642.6
0.23	11.02	18.31	697.7	642.5
0.24	11.01	18.3	697.8	642.4
0.25	11.02	18.28	697.9	642.5
0.26	11.01	18.26	697.9	642.4
0.27	11.02	18.25	697.8	642.4
0.28	11.02	18.23	697.7	642.3
0.29	11.02	18.22	697.6	642.4
0.3	11.02	18.2	697.7	642.4
0.31	11.03	18.19	697.7	642.4
0.32	11.03	18.18	697.7	642.5
0.33	11.03	18.17	697.8	642.4
0.34	11.04	18.15	697.6	642.6
0.35	11.04	18.11	697.6	642.7
0.36	11.03	18.08	697.8	642.5
0.37	11.03	18.07	697.7	642.5
0.38	11.02	18.05	697.7	642.5
0.39	11.01	18.03	697.8	642.4
0.4	11.02	18.02	697.9	642.3
0.41	11.02	18.01	697.7	642.9
0.42	11.02	18.0	697.8	642.7
0.43	11.02	17.99	697.8	642.5
0.44	11.02	17.97	697.9	642.4
0.45	11.02	17.97	697.9	642.8
0.46	11.02	17.95	697.7	642.5
0.47	11.02	17.93	697.8	642.5
0.48	11.03	17.93	697.7	642.6
0.49	11.01	17.9	697.7	642.4
0.5	11.01	17.88	697.9	642.5
0.51	11.01	17.86	697.8	642.5
0.52	11.03	17.86	697.6	642.7
0.53	11.02	17.86	697.6	642.5
0.54	11.04	17.84	697.8	642.4
0.55	11.02	17.81	697.6	642.5
0.56	11.02	17.8	697.9	642.3
0.57	11.01	17.78	697.8	642.6
0.58	11.02	17.75	697.7	642.4
0.59	11.02	17.74	697.7	642.5
0.6	11.03	17.73	697.9	642.4
0.61	11.03	17.72	697.6	642.4
0.62	11.03	17.7	697.7	642.7
0.63	11.02	17.68	697.7	642.7
0.64	11.03	17.66	697.7	642.2
0.65	11.02	17.65	697.9	642.6
0.66	11.03	17.63	697.9	642.5
0.67	11.02	17.62	697.8	642.4
0.68	11.04	17.62	697.8	642.5
0.69	11.02	17.6	697.7	642.4
0.7	11.02	17.58	697.6	642.3
0.71	11.02	17.57	697.8	642.9
0.72	11.02	17.55	697.8	642.4
0.73	11.02	17.54	697.8	642.3
0.74	11.03	17.55	697.8	642.4
0.75	11.03	17.52	697.8	642.5
0.76	11.02	17.5	697.9	642.4
0.77	11.02	17.48	697.9	642.3
0.78	11.02	17.47	697.7	642.8
0.79	11.03	17.45	697.8	642.5
0.8	11.04	17.46	697.9	642.6
0.81	11.02	17.42	697.7	642.4
0.82	11.02	17.41	697.9	642.6
0.83	11.02	17.39	697.8	642.5
0.84	11.03	17.4	697.8	642.4
0.85	11.03	17.38	697.8	642.5
0.86	11.03	17.35	697.6	642.3
0.87	11.03	17.34	697.7	642.4
0.88	11.03	17.33	697.8	642.5
0.89	11.04	17.33	697.9	642.6
0.9	11.02	17.3	697.8	642.5
0.91	11.03	17.29	697.7	642.5
0.92	11.02	17.27	697.6	642.4
0.93	11.02	17.24	697.8	642.5
0.94	11.03	17.24	697.8	642.4
0.95	11.02	17.22	697.6	642.5
0.96	11.01	17.16	697.7	642.6
0.97	11.02	17.15	697.8	642.5
