t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	642.3	695.2
0.0	9.36	15.54	695.2	642.3
0.01	10.59	17.53	695.4	642.5
0.02	10.86	17.97	695.5	642.3
0.03	10.94	18.08	695.5	642.4
0.04	10.98	18.11	695.2	642.2
0.05	11.0	18.1	695.3	642.4
0.06	11.01	18.09	695.4	642.2
0.07	11.03	18.08	695.4	642.4
0.08	11.04	18.07	695.3	642.7
0.09	11.05	18.07	695.2	642.2
0.1	11.05	18.04	695.3	642.3
0.11	11.05	18.02	695.3	642.3
0.12	11.05	17.99	695.2	642.4
0.13	11.05	17.97	695.5	642.4
0.14	11.06	17.96	695.2	642.2
0.15	11.06	17.93	695.2	642.4
0.16	11.05	17.91	695.4	642.1
0.17	11.06	17.89	695.3	642.2
0.18	11.06	17.86	695.2	642.2
0.19	11.06	17.85	695.3	642.2
0.2	11.06	17.84	695.3	642.1
0.21	11.07	17.82	695.2	642.4
0.22	11.08	17.82	695.3	642.4
0.23	11.07	17.79	695.3	642.2
0.24	11.07	17.77	695.3	642.3
0.25	11.06	17.75	695.4	642.4
0.26	11.07	17.73	695.5	642.2
0.27	11.06	17.71	695.2	642.4
0.28	11.06	17.69	695.4	642.2
0.29	11.06	17.68	695.3	642.4
0.3	11.06	17.66	695.4	642.5
0.31	11.06	17.65	695.3	642.2
0.32	11.07	17.64	695.3	642.3
0.33	11.06	17.62	695.4	642.4
0.34	11.08	17.61	695.3	642.4
0.35	11.06	17.59	695.2	642.2
0.36	11.06	17.57	695.4	642.3
0.37	11.06	17.56	695.5	642.4
0.38	11.06	17.53	695.4	642.4
0.39	11.05	17.51	695.2	642.2
0.4	11.06	17.49	695.3	642.3
0.41	11.05	17.48	695.4	642.3
0.42	11.06	17.47	695.1	642.3
0.43	11.06	17.46	695.3	642.3
0.44	11.06	17.44	695.2	642.6
0.45	11.07	17.43	695.2	642.4
0.46	11.07	17.4	695.3	642.3
0.47	11.06	17.38	695.2	642.5
0.48	11.07	17.39	695.2	642.3
0.49	11.06	17.35	695.2	642.2
0.5	11.06	17.34	695.3	642.3
0.51	11.06	17.32	695.4	642.2
0.52	11.06	17.32	695.4	642.3
0.53	11.07	17.31	695.2	642.3
0.54	11.06	17.28	695.5	642.3
0.55	11.06	17.26	695.5	642.2
0.56	11.06	17.25	695.4	642.5
0.57	11.06	17.23	695.3	642.4
0.58	11.05	17.21	695.5	642.3
0.59	11.05	17.19	695.4	642.2
0.6	11.06	17.19	695.2	642.3
0.61	11.07	17.18	695.2	642.4
0.62	11.06	17.16	695.1	642.2
0.63	11.07	17.14	695.4	642.4
0.64	11.06	17.12	695.6	642.3
0.65	11.06	17.11	695.3	642.4
0.66	11.06	17.09	695.3	642.2
0.67	11.06	17.08	695.5	642.4
0.68	11.07	17.07	695.4	642.2
0.69	11.07	17.05	695.3	642.4
0.7	11.05	17.02	695.4	642.3
0.71	11.06	17.01	695.3	642.2
0.72	11.06	16.99	695.3	642.3
0.73	11.06	16.97	695.2	642.2
0.74	11.08	16.99	695.4	642.4
0.75	11.07	16.96	695.2	642.1
0.76	11.07	16.94	695.3	642.1
0.77	11.06	16.92	695.3	642.4
0.78	11.07	16.91	695.3	642.3
0.79	11.06	16.89	695.4	642.5
0.8	11.08	16.89	695.3	642.3
0.81	11.06	16.85	695.4	642.5
0.82	11.06	16.84	695.2	642.0
0.83	11.06	16.82	695.4	642.2
0.84	11.08	16.83	695.3	642.5
0.85	11.06	16.81	695.5	642.2
0.86	11.06	16.79	695.2	642.3
0.87	11.06	16.78	695.5	642.3
0.88	11.06	16.76	695.3	642.3
0.89	11.06	16.76	695.4	642.1
0.9	11.07	16.73	695.4	642.5
0.91	11.07	16.72	695.4	642.6
0.92	11.07	16.71	695.3	642.4
0.93	11.05	16.68	695.4	642.5
0.94	11.07	16.68	695.2	642.3
0.95	11.06	16.66	695.3	642.4
0.96	11.06	16.64	695.3	642.2
0.97	11.06	16.63	695.3	642.3
0.98	11.08	16.64	695.3	642.3
0.99	11.06	16.61	695.4	642.3
1.0	11.06	16.59	695.2	642.2
1.01	11.07	16.59	695.3	642.4
1.02	11.06	16.56	695.4	642.3
1.03	11.06	16.54	695.4	642.4
1.04	11.06	16.53	695.2	642.4
1.05	11.07	16.53	695.1	642.1
1.06	11.06	16.51	695.4	642.3
1.07	11.06	16.49	695.3	642.2
1.08	11.06	16.47	695.4	642.3
1.09	11.06	16.46	695.3	642.4
1.1	11.08	16.47	695.2	642.6
1.11	11.06	16.45	695.4	642.2
1.12	11.06	16.41	695.5	642.5
1.13	11.06	16.4	695.5	642.2
1.14	11.05	16.38	695.3	642.4
1.15	11.07	16.39	695.2	642.6
1.16	11.07	16.37	695.3	642.3
1.17	11.08	16.38	695.3	642.5
1.18	11.07	16.36	695.4	642.4
1.19	11.07	16.34	695.2	642.6
1.2	11.07	16.33	695.2	642.1
1.21	11.07	16.3	695.6	642.2
1.22	11.05	16.27	695.4	642.2
1.23	11.07	16.27	695.4	642.3
1.24	11.05	16.25	695.4	642.3
1.25	11.05	16.23	695.3	642.3
1.26	11.05	16.22	695.4	642.1
1.27	11.06	16.21	695.3	642.3
1.28	11.06	16.2	695.4	642.5
1.29	11.06	16.19	695.4	642.2
1.3	11.06	16.17	695.4	642.4
1.31	11.06	16.16	695.3	642.4
1.32	11.05	16.14	695.2	642.2
1.33	11.06	16.13	695.5	642.3
1.34	11.06	16.12	695.4	642.1
1.35	11.07	16.11	695.2	642.4
1.36	11.08	16.12	695.2	642.2
1.37	11.07	16.09	695.1	642.2
1.38	11.06	16.07	695.2	642.1
1.39	11.05	16.05	695.2	642.5
1.4	11.06	16.03	695.4	642.1
1.41	11.07	16.03	695.3	642.3
1.42	11.07	16.04	695.3	642.4
1.43	11.07	16.01	695.5	642.4
