t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	645.4	693.8
0.0	9.36	16.24	693.8	645.4
0.01	10.58	18.27	693.8	645.6
0.02	10.86	18.69	693.8	645.6
0.03	10.96	18.79	693.9	645.4
0.04	10.98	18.8	693.8	645.7
0.05	11.01	18.79	693.9	645.6
0.06	11.02	18.77	693.7	645.6
0.07	11.03	18.75	694.0	645.4
0.08	11.03	18.73	693.8	645.9
0.09	11.06	18.72	693.9	645.4
0.1	11.06	18.69	693.9	645.6
0.11	11.06	18.66	693.9	645.6
0.12	11.05	18.63	693.7	645.7
0.13	11.07	18.61	693.9	645.4
0.14	11.06	18.59	693.8	645.5
0.15	11.06	18.55	693.6	645.5
0.16	11.06	18.52	693.8	645.4
0.17	11.06	18.5	693.8	645.6
0.18	11.05	18.47	693.9	645.6
0.19	11.06	18.44	693.8	645.5
0.2	11.06	18.43	693.9	645.6
0.21	11.06	18.41	693.8	645.7
0.22	11.07	18.4	693.8	645.4
0.23	11.07	18.36	693.9	645.4
0.24	11.07	18.34	693.8	645.8
0.25	11.06	18.31	693.8	645.7
0.26	11.07	18.28	693.9	645.5
0.27	11.06	18.26	693.9	645.6
0.28	11.07	18.24	693.9	645.7
0.29	11.06	18.22	693.8	645.5
0.3	11.07	18.19	693.8	645.5
0.31	11.06	18.17	693.8	645.6
0.32	11.08	18.16	693.8	645.4
0.33	11.06	18.14	693.8	645.5
0.34	11.08	18.12	693.8	645.6
0.35	11.07	18.1	693.8	645.6
0.36	11.07	18.07	693.8	645.6
0.37	11.06	18.05	693.8	645.6
0.38	11.07	18.02	693.8	645.2
0.39	11.05	17.99	694.0	645.8
0.4	11.06	17.98	693.8	645.5
0.41	11.05	17.96	693.8	645.4
0.42	11.06	17.94	693.8	645.5
0.43	11.06	17.93	693.9	645.5
0.44	11.06	17.91	693.8	645.6
0.45	11.06	17.9	693.9	645.4
0.46	11.06	17.87	693.8	645.6
0.47	11.05	17.84	693.9	645.5
0.48	11.06	17.84	693.8	645.5
0.49	11.05	17.81	693.8	645.5
0.5	11.07	17.79	693.8	645.5
0.51	11.05	17.76	693.9	645.6
0.52	11.07	17.76	693.8	645.6
0.53	11.07	17.75	693.8	645.6
0.54	11.07	17.72	693.8	645.5
0.55	11.06	17.7	694.0	645.7
0.56	11.07	17.69	693.8	645.4
0.57	11.06	17.65	693.9	645.7
0.58	11.05	17.63	693.8	645.5
0.59	11.06	17.61	693.8	645.4
0.6	11.06	17.6	693.8	645.5
0.61	11.07	17.59	693.8	645.6
0.62	11.07	17.57	693.9	645.7
0.63	11.07	17.54	693.9	645.2
0.64	11.06	17.53	693.8	645.6
0.65	11.07	17.51	693.8	645.3
0.66	11.07	17.49	693.8	645.6
0.67	11.07	17.48	693.9	645.7
0.68	11.07	17.47	693.9	645.4
0.69	11.08	17.45	693.8	645.6
0.7	11.06	17.42	693.8	645.7
0.71	11.06	17.4	693.6	645.7
0.72	11.06	17.38	693.9	645.3
0.73	11.06	17.36	693.8	645.3
0.74	11.07	17.37	693.7	645.6
0.75	11.07	17.34	693.8	645.8
0.76	11.06	17.31	693.9	645.7
0.77	11.06	17.29	693.8	645.7
0.78	11.06	17.28	693.8	645.8
0.79	11.06	17.25	693.8	645.4
0.8	11.07	17.26	693.9	645.5
0.81	11.07	17.22	693.8	645.8
0.82	11.06	17.2	693.8	645.5
0.83	11.06	17.18	693.8	645.7
0.84	11.08	17.19	693.8	645.5
0.85	11.07	17.16	693.9	645.7
0.86	11.06	17.14	693.9	645.5
0.87	11.07	17.12	693.9	645.6
0.88	11.07	17.11	693.8	645.6
0.89	11.08	17.1	693.9	645.4
0.9	11.06	17.07	693.8	645.7
0.91	11.08	17.06	693.7	645.4
0.92	11.07	17.04	693.8	645.4
0.93	11.06	17.0	694.0	645.5
0.94	11.08	17.01	693.7	645.6
0.95	11.06	16.98	693.7	645.4
0.96	11.06	16.96	693.8	645.4
0.97	11.07	16.95	693.9	645.5
0.98	11.08	16.96	693.8	645.6
0.99	11.06	16.92	693.8	645.7
1.0	11.07	16.9	693.8	645.7
