t(s)	U[1](V)	U[2](V)	U[3](V)	U[4](V)	U[5](V)	U[6](V)	U[7](V)	U[8](V)	I[1](V)	I[2](V)	I[3](V)	I[4](V)	I[5](V)	I[6](V)	I[7](V)	I[8](V)	T1[1](V)	T1[2](V)	T1[3](V)	T1[4](V)	T1[5](V)	T1[6](V)	T1[7](V)	T1[8](V)	T2[1](V)	T2[2](V)	T2[3](V)	T2[4](V)	T2[5](V)	T2[6](V)	T2[7](V)	T2[8](V)
0,00	9,36	9,36	9,36	9,36	9,33	9,34	9,34	9,34	16,27	15,78	16,24	15,54	16,06	17,05	16,20	16,08	646,86	649,86	645,43	642,29	644,74	643,06	644,54	642,53	704,06	685,67	693,83	695,24	704,64	701,87	705,07	697,97
0,01	10,57	10,57	10,58	10,59	10,53	10,55	10,55	10,54	18,31	17,76	18,27	17,53	18,03	19,17	18,24	18,04	646,82	649,62	645,55	642,53	644,73	643,20	644,89	642,16	704,06	685,60	693,81	695,36	704,66	701,87	704,87	697,92
0,02	10,86	10,85	10,86	10,86	10,82	10,83	10,84	10,82	18,76	18,19	18,69	17,97	18,43	19,62	18,68	18,47	646,63	649,89	645,59	642,29	645,07	643,14	644,68	642,54	704,10	685,57	693,81	695,48	704,54	701,92	704,87	697,83
0,03	10,94	10,94	10,96	10,94	10,90	10,91	10,91	10,90	18,86	18,28	18,79	18,08	18,53	19,73	18,78	18,59	646,53	649,65	645,43	642,42	645,08	643,00	644,57	642,56	704,05	685,49	693,93	695,53	704,72	701,74	704,79	697,73
0,04	10,97	10,98	10,98	10,98	10,94	10,95	10,95	10,94	18,89	18,31	18,80	18,11	18,56	19,74	18,80	18,61	647,04	649,76	645,71	642,22	644,86	642,84	644,77	642,33	704,08	685,58	693,81	695,17	704,67	701,75	704,99	697,63
0,05	11,00	10,99	11,01	11,00	10,96	10,96	10,97	10,97	18,88	18,30	18,79	18,10	18,54	19,74	18,80	18,61	646,82	649,85	645,60	642,38	644,95	643,27	644,66	642,53	704,09	685,59	693,90	695,34	704,57	702,06	704,88	697,69
0,06	11,01	11,00	11,02	11,01	10,98	10,98	10,98	10,97	18,87	18,29	18,77	18,09	18,53	19,72	18,78	18,60	646,85	649,68	645,65	642,24	644,91	643,20	644,67	642,45	704,04	685,69	693,74	695,44	704,54	701,85	704,99	697,66
0,07	11,02	11,03	11,03	11,03	10,98	10,99	10,99	10,99	18,86	18,27	18,75	18,08	18,51	19,70	18,77	18,57	646,91	649,76	645,38	642,45	644,59	642,91	644,80	642,54	704,09	685,55	693,98	695,38	704,53	701,97	704,89	697,86
0,08	11,03	11,03	11,03	11,04	11,01	11,00	11,01	11,00	18,86	18,26	18,73	18,07	18,49	19,69	18,76	18,57	646,91	649,69	645,91	642,71	644,90	643,30	644,62	642,33	704,16	685,62	693,79	695,28	704,74	702,12	704,82	697,65
0,09	11,05	11,05	11,06	11,05	11,01	11,01	11,02	11,01	18,85	18,26	18,72	18,07	18,50	19,68	18,76	18,58	646,83	649,68	645,42	642,16	645,04	643,21	644,64	642,45	704,08	685,55	693,88	695,25	704,48	701,94	705,15	697,64
