t(s)	U[1](V)	U[2](V)	U[3](V)	U[4](V)	U[5](V)	I[1](V)	I[2](V)	I[3](V)	I[4](V)	I[5](V)	T[1](V)	T[2](V)	T[3](V)	T[4](V)	T[5](V)	T1[1](V)	T1[2](V)	T1[3](V)	T1[4](V)	T1[5](V)	T2[1](V)	T2[2](V)	T2[3](V)	T2[4](V)	T2[5](V)
0,00	8,23	8,41	8,36	8,38	8,36	17,22	16,96	16,84	16,79	17,02	702,93	702,90	702,95	702,97	702,93	99,98	99,96	100,00	100,01	99,98	99,99	99,96	99,96	99,96	99,96
0,01	11,07	11,09	11,09	11,08	11,08	23,29	22,57	22,45	22,31	22,65	702,96	702,97	702,93	702,93	702,92	100,01	100,04	99,93	99,97	99,99	99,95	99,94	99,95	99,98	99,93
0,02	11,06	11,06	11,08	11,07	11,07	23,25	22,57	22,42	22,28	22,63	702,99	702,90	702,96	702,95	702,92	100,07	99,98	99,93	99,98	99,97	99,95	99,99	99,96	100,00	99,97
0,03	11,07	11,06	11,06	11,07	11,08	23,25	22,58	22,41	22,28	22,77	702,97	702,94	702,95	702,92	702,97	99,99	99,94	99,98	99,92	99,99	99,96	99,98	99,94	99,94	99,97
0,04	11,07	11,10	11,09	11,06	11,05	23,23	22,58	22,40	22,27	22,82	702,90	702,97	702,98	702,94	702,95	99,97	99,98	99,98	99,96	99,98	99,90	99,94	99,99	99,96	99,95
0,05	11,08	11,07	11,07	11,07	11,07	23,21	22,57	22,38	22,26	22,82	702,96	702,93	702,99	702,92	702,92	100,00	99,98	100,04	99,94	99,94	99,96	99,97	99,94	99,91	99,97
0,06	11,07	11,07	11,07	11,07	11,08	23,20	22,56	22,36	22,24	22,81	702,94	702,93	702,92	702,96	702,96	99,97	99,97	99,94	99,96	99,97	99,94	99,97	99,94	99,97	99,96
0,07	11,07	11,06	11,07	11,07	11,07	23,18	22,54	22,35	22,23	22,80	702,93	702,94	702,94	702,95	703,00	99,94	99,97	100,00	99,97	100,04	99,97	99,95	99,92	99,94	99,97
0,08	11,08	11,08	11,06	11,07	11,06	23,16	22,53	22,33	22,21	22,78	702,96	702,94	702,96	702,89	702,96	100,03	99,93	99,96	99,92	99,99	99,90	99,95	99,93	99,97	99,91
0,09	11,07	11,09	11,06	11,08	11,07	23,14	22,52	22,32	22,20	22,76	702,98	702,94	702,94	702,93	702,87	99,98	99,97	99,98	99,92	99,94	99,98	99,97	99,93	99,93	99,98
