t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	100.0	702.9
0.0	8.23	17.22	702.9	100.0
0.01	11.07	23.29	703.0	100.0
0.02	11.06	23.25	703.0	100.1
0.03	11.07	23.25	703.0	100.0
0.04	11.07	23.23	702.9	100.0
0.05	11.08	23.21	703.0	100.0
0.06	11.07	23.2	702.9	100.0
0.07	11.07	23.18	702.9	99.9
0.08	11.08	23.16	703.0	100.0
0.09	11.07	23.14	703.0	100.0
0.1	11.07	23.12	703.0	99.9
0.11	11.06	23.11	703.0	100.0
0.12	11.06	23.09	703.0	100.0
0.13	11.09	23.08	702.9	100.0
0.14	11.09	23.06	702.9	99.9
0.15	11.07	23.04	703.0	100.0
0.16	11.08	23.03	703.0	100.0
0.17	11.08	23.01	703.0	100.0
0.18	11.07	23.0	702.9	100.0
0.19	11.07	22.98	703.0	100.0
0.2	11.07	22.96	703.0	99.9
0.21	11.07	22.95	702.9	100.0
0.22	11.06	22.93	702.9	100.0
0.23	11.06	22.91	703.0	100.0
0.24	11.07	22.9	702.9	100.0
0.25	11.07	22.88	702.9	100.0
0.26	11.08	22.86	702.9	100.0
0.27	11.09	22.85	702.9	100.0
0.28	11.07	22.83	703.0	100.0
0.29	11.08	22.82	702.9	100.0
0.3	11.09	22.8	702.9	100.0
0.31	11.07	22.78	703.0	100.0
0.32	11.07	22.77	702.9	100.0
0.33	11.07	22.75	702.9	100.0
0.34	11.07	22.73	702.9	100.0
0.35	11.08	22.71	702.9	99.9
0.36	11.07	22.7	702.9	100.0
0.37	11.06	22.68	702.9	100.0
0.38	11.09	22.66	702.9	99.9
0.39	11.09	22.64	702.9	100.0
0.4	11.09	22.62	703.0	100.0
0.41	11.07	22.61	702.9	100.0
0.42	11.06	22.59	702.9	99.9
0.43	11.07	22.57	702.9	99.9
0.44	11.08	22.55	702.9	100.0
0.45	11.06	22.53	702.9	100.0
0.46	11.07	22.51	703.0	100.0
0.47	11.07	22.49	702.9	100.0
0.48	11.07	22.47	703.0	100.0
0.49	11.09	22.45	702.9	100.1
0.5	11.08	22.43	703.0	100.0
0.51	11.06	22.41	702.9	100.0
0.52	11.07	22.39	702.9	100.0
0.53	11.09	22.38	703.0	100.0
0.54	11.07	22.36	702.9	100.0
0.55	11.07	22.34	702.9	100.0
0.56	11.07	22.32	702.9	100.0
0.57	11.07	22.3	702.9	100.0
0.58	11.07	22.29	703.0	100.0
0.59	11.06	22.27	702.9	100.0
0.6	11.07	22.26	703.0	100.0
0.61	11.08	22.24	703.0	100.0
0.62	11.07	22.23	703.0	100.0
0.63	11.07	22.22	703.0	100.0
0.64	11.07	22.2	703.0	100.0
0.65	11.08	22.19	703.0	100.0
0.66	11.07	22.17	702.9	100.0
