t[s]	U[V]	I[A]	Piro[C]	TC[C]
-0.01	-0.01	-0.01	100.0	703.0
0.0	8.36	16.84	703.0	100.0
0.01	11.09	22.45	702.9	99.9
0.02	11.08	22.42	703.0	99.9
0.03	11.06	22.41	703.0	100.0
0.04	11.09	22.4	703.0	100.0
0.05	11.07	22.38	703.0	100.0
0.06	11.07	22.36	702.9	99.9
0.07	11.07	22.35	702.9	100.0
0.08	11.06	22.33	703.0	100.0
0.09	11.06	22.32	702.9	100.0
0.1	11.09	22.31	703.0	100.0
0.11	11.06	22.3	702.9	100.0
0.12	11.07	22.28	703.0	100.1
0.13	11.08	22.27	703.0	100.0
0.14	11.07	22.26	702.9	99.9
0.15	11.08	22.27	703.0	100.0
0.16	11.06	22.27	702.9	100.0
0.17	11.06	22.27	703.0	100.0
0.18	11.07	22.26	703.0	100.0
0.19	11.09	22.25	702.9	99.9
0.2	11.07	22.24	702.9	100.0
0.21	11.07	22.23	703.0	100.0
0.22	11.07	22.22	702.9	100.0
0.23	11.08	22.21	703.0	100.0
0.24	11.09	22.2	702.9	100.0
0.25	11.07	22.19	703.0	100.0
0.26	11.08	22.19	703.0	100.0
0.27	11.08	22.19	702.9	100.0
0.28	11.08	22.19	702.9	99.9
0.29	11.07	22.2	702.9	99.9
0.3	11.06	22.2	702.9	99.9
0.31	11.06	22.2	702.9	100.0
0.32	11.06	22.21	703.0	100.0
0.33	11.08	22.21	702.9	100.0
0.34	11.06	22.22	703.0	100.0
0.35	11.07	22.22	703.0	100.0
0.36	11.08	22.21	702.9	100.0
0.37	11.07	22.2	703.0	100.0
0.38	11.07	22.2	703.0	100.0
0.39	11.09	22.19	702.9	100.0
0.4	11.06	22.18	702.9	100.0
0.41	11.06	22.17	702.9	99.9
0.42	11.09	22.16	703.0	100.0
0.43	11.07	22.15	702.9	100.0
0.44	11.08	22.13	703.0	100.0
0.45	11.07	22.12	703.0	100.0
0.46	11.05	22.11	702.9	100.0
0.47	11.08	22.1	702.9	100.0
0.48	11.08	22.08	702.9	100.0
0.49	11.07	22.07	703.0	100.0
0.5	11.08	22.06	703.0	100.0
0.51	11.06	22.04	702.9	99.9
0.52	11.08	22.03	703.0	100.0
0.53	11.1	22.01	703.0	100.0
0.54	11.07	22.0	702.9	100.0
0.55	11.06	21.98	703.0	100.0
0.56	11.08	21.97	703.0	100.0
0.57	11.08	21.95	703.0	100.0
0.58	11.08	21.93	702.9	100.0
0.59	11.07	21.92	703.0	100.0
0.6	11.05	21.9	703.0	100.0
0.61	11.08	21.89	702.9	100.0
0.62	11.07	21.87	702.9	99.9
0.63	11.07	21.86	702.9	99.9
0.64	11.07	21.85	702.9	100.0
0.65	11.07	21.83	702.9	100.0
0.66	11.08	21.82	702.9	99.9
0.67	11.07	21.81	703.0	100.0
0.68	11.07	21.8	703.0	100.0
0.69	11.08	21.78	702.9	100.0
0.7	11.07	21.77	702.9	99.9
0.71	11.08	21.76	703.0	100.0
0.72	11.06	21.75	703.0	100.0
0.73	11.07	21.73	702.9	100.0
0.74	11.06	21.72	702.9	100.0
0.75	11.07	21.7	702.9	100.0
0.76	11.06	21.69	702.9	99.9
0.77	11.07	21.68	702.9	100.0
0.78	11.06	21.66	702.9	100.0
0.79	11.08	21.66	703.0	100.0
0.8	11.07	21.64	703.0	100.0
0.81	11.07	21.63	703.0	100.0
0.82	11.06	21.61	702.9	99.9
0.83	11.08	21.6	702.9	100.0
0.84	11.07	21.59	702.9	100.0
0.85	11.06	21.57	703.0	100.0
0.86	11.06	21.56	702.9	100.0
0.87	11.08	21.55	703.0	100.0
0.88	11.07	21.54	702.9	99.9
0.89	11.09	21.53	702.9	100.0
0.9	11.06	21.51	702.9	100.0
0.91	11.08	21.5	703.0	100.0
0.92	11.08	21.49	702.9	100.0
0.93	11.09	21.48	703.0	100.0
0.94	11.07	21.47	703.0	100.0
0.95	11.06	21.45	703.0	100.0
0.96	11.08	21.44	703.0	100.0
0.97	11.08	21.43	703.0	100.0
0.98	11.07	21.42	703.0	100.0
0.99	11.07	21.41	703.0	100.0
1.0	11.07	21.4	702.9	100.0
1.01	11.07	21.39	702.9	100.0
1.02	11.07	21.38	702.9	100.0
1.03	11.08	21.36	702.9	100.0
1.04	11.07	21.35	703.0	100.0
1.05	11.07	21.34	702.9	99.9
1.06	11.08	21.33	702.9	100.0
1.07	11.07	21.32	702.9	100.0
1.08	11.07	21.31	702.9	99.9
1.09	11.08	21.3	702.9	99.9
1.1	11.07	21.29	702.9	100.0
1.11	11.08	21.27	702.9	100.0
1.12	11.07	21.27	702.9	100.0
1.13	11.07	21.25	703.0	100.0
1.14	11.07	21.24	703.0	100.0
1.15	11.08	21.23	702.9	99.9
1.16	11.06	21.22	702.9	99.9
1.17	11.09	21.21	703.1	99.9
1.18	11.09	21.2	702.9	100.0
1.19	11.07	21.19	703.0	100.0
1.2	11.06	21.17	702.9	100.0
1.21	11.07	21.16	702.9	100.0
1.22	11.08	21.15	702.9	100.0
1.23	11.1	21.14	703.0	100.0
1.24	11.07	21.13	702.9	100.0
1.25	11.06	21.12	702.9	100.0
1.26	11.07	21.11	703.0	100.0
1.27	11.08	21.09	703.0	100.0
1.28	11.07	21.08	702.9	99.9
1.29	11.07	21.07	703.0	100.0
1.3	11.06	21.06	703.0	100.0
1.31	11.08	21.05	702.9	100.0
1.32	11.09	21.04	703.0	100.0
1.33	11.07	21.02	702.9	100.0
1.34	11.06	21.01	703.0	100.0
